Id:,Role:,Process:,ADR:,BusinessActivity:,BusinessPermission:,ISDataType:,ISActivity:,System:,ServiceCall:,ISPermission:
1,Operative Division:Cashier,sale-process,ACQUIRE BarCodeScanner,ScanItems,1. READ Item (Comp)<br>2. WRITE Item (Comp)<br>,1. Product (Comp)<br>2. Product (Comp)<br>,scanBarcode,cocome-cloud,ICashDeskView.scanBarcode(),WRITE STRING
2,Operative Division:Cashier,sale-process,ACQUIRE CardReader,PullCreditCardThroughCardReader,1. READ CreditCard (Comp)<br>2. WRITE CreditCard (Comp)<br>,1. creditCard (Comp)<br>2. creditCard (Comp)<br>,enterCreditCardInfo,cocome-cloud,ICashDeskView.enterCardInfo(),READ cardInfo: STRING;READ pin: STRING;WRITE STRING
3,Operative Division:Cashier,sale-process,ACQUIRE CashBox,1. PressStartNewSale<br>2. EnterDigit<br>3. ScanItems<br>4. EnterRecievedCash<br>5. PressEnter<br>6. CloseCashBox<br>7. HandOverChange<br>8. RecieveCreditCard<br>9. PullCreditCardThroughCardReader<br>,1. <br>2. READ Item (Comp);WRITE Item (Comp)<br>3. READ Item (Comp);WRITE Item (Comp)<br>4. READ MoneyCollection (Coll)<br>5. <br>6. <br>7. WRITE MoneyCollection (Coll)<br>8. READ CreditCard (Comp)<br>9. READ CreditCard (Comp);WRITE CreditCard (Comp)<br>,1. <br>2. Product (Comp);Product (Comp)<br>3. Product (Comp);Product (Comp)<br>4. <br>5. <br>6. <br>7. <br>8. creditCard (Comp)<br>9. creditCard (Comp);creditCard (Comp)<br>,1. addDigitToBarCode<br>2. scanBarcode<br>3. PressNumPadKey (CashAmount)<br>4. enterCreditCardInfo<br>,1. cocome-cloud<br>2. cocome-cloud<br>3. cocome-cloud<br>4. cocome-cloud<br>,1. ICashDeskView.addDigitToBarcode()<br>2. ICashDeskView.scanBarcode()<br>3. ICashDeskView.enterCashAmount()<br>4. ICashDeskView.enterCardInfo()<br>,1. READ digit: CHAR<br>2. WRITE STRING<br>3. READ cashAmount: DOUBLE;WRITE STRING<br>4. READ cardInfo: STRING;READ pin: STRING;WRITE STRING<br>
4,Operative Division:Cashier,sale-process,ACQUIRE Printer,HandReceiptOut,1. READ Receipt (Comp)<br>2. WRITE Receipt (Comp)<br>,,,getCurrentPrintout,cocome-cloud,ICashDeskView.updatePrinterOutput(),
5,Operative Division:Cashier,sale-process,ACQUIRE LightDisplay,1. PressStartNewSale<br>2. EnterDigit<br>3. ScanItems<br>4. EnterRecievedCash<br>5. PressEnter<br>6. CloseCashBox<br>7. HandOverChange<br>8. RecieveCreditCard<br>9. PullCreditCardThroughCardReader<br>10. HandReceiptOut<br>,1. <br>2. READ Item (Comp);WRITE Item (Comp)<br>3. READ Item (Comp);WRITE Item (Comp)<br>4. READ MoneyCollection (Coll)<br>5. <br>6. <br>7. WRITE MoneyCollection (Coll)<br>8. READ CreditCard (Comp)<br>9. READ CreditCard (Comp);WRITE CreditCard (Comp)<br>10. READ Receipt (Comp);WRITE Receipt (Comp)<br>,1. <br>2. Product (Comp);Product (Comp)<br>3. Product (Comp);Product (Comp)<br>4. <br>5. <br>6. <br>7. <br>8. creditCard (Comp)<br>9. creditCard (Comp);creditCard (Comp)<br>10. ;<br>,1. addDigitToBarCode<br>2. scanBarcode<br>3. PressNumPadKey (CashAmount)<br>4. enterCreditCardInfo<br>5. getCurrentPrintout<br>,1. cocome-cloud<br>2. cocome-cloud<br>3. cocome-cloud<br>4. cocome-cloud<br>5. cocome-cloud<br>,1. ICashDeskView.addDigitToBarcode()<br>2. ICashDeskView.scanBarcode()<br>3. ICashDeskView.enterCashAmount()<br>4. ICashDeskView.enterCardInfo()<br>5. ICashDeskView.updatePrinterOutput()<br>,1. READ digit: CHAR<br>2. WRITE STRING<br>3. READ cashAmount: DOUBLE;WRITE STRING<br>4. READ cardInfo: STRING;READ pin: STRING;WRITE STRING<br>
6,Operative Division:Cashier,sale-process,ACQUIRE CashDeskPC,1. PressStartNewSale<br>2. EnterDigit<br>3. ScanItems<br>4. EnterRecievedCash<br>5. PressEnter<br>6. CloseCashBox<br>7. HandOverChange<br>8. RecieveCreditCard<br>9. PullCreditCardThroughCardReader<br>10. HandReceiptOut<br>,1. <br>2. READ Item (Comp);WRITE Item (Comp)<br>3. READ Item (Comp);WRITE Item (Comp)<br>4. READ MoneyCollection (Coll)<br>5. <br>6. <br>7. WRITE MoneyCollection (Coll)<br>8. READ CreditCard (Comp)<br>9. READ CreditCard (Comp);WRITE CreditCard (Comp)<br>10. READ Receipt (Comp);WRITE Receipt (Comp)<br>,1. <br>2. Product (Comp);Product (Comp)<br>3. Product (Comp);Product (Comp)<br>4. <br>5. <br>6. <br>7. <br>8. creditCard (Comp)<br>9. creditCard (Comp);creditCard (Comp)<br>10. ;<br>,1. addDigitToBarCode<br>2. scanBarcode<br>3. PressNumPadKey (CashAmount)<br>4. enterCreditCardInfo<br>5. getCurrentPrintout<br>,1. cocome-cloud<br>2. cocome-cloud<br>3. cocome-cloud<br>4. cocome-cloud<br>5. cocome-cloud<br>,1. ICashDeskView.addDigitToBarcode()<br>2. ICashDeskView.scanBarcode()<br>3. ICashDeskView.enterCashAmount()<br>4. ICashDeskView.enterCardInfo()<br>5. ICashDeskView.updatePrinterOutput()<br>,1. READ digit: CHAR<br>2. WRITE STRING<br>3. READ cashAmount: DOUBLE;WRITE STRING<br>4. READ cardInfo: STRING;READ pin: STRING;WRITE STRING<br>
7,Operative Division:Cashier,Sale,ACQUIRE BarCodeScanner,cashier scans a item [Branch:KeepExpressModeEnabled],1. READ Item (Comp)<br>2. WRITE Barcode (Comp)<br>,1. Product (Comp)<br>2. Barcode (Comp)<br>,scanBarcode [Branch:KeepExpressModeEnabled],cocome-cloud,ICashDeskView.scanBarcode(),WRITE STRING
8,Operative Division:Cashier,Sale,ACQUIRE CardReader,1. cashier pulls credit cardt through card reader [Branch:KeepExpressModeEnabled]<br>2. cashier returns credit card to customer [Branch:KeepExpressModeEnabled]<br>,1. <br>2. WRITE CreditCard (Comp)<br>,1. <br>2. creditCard (Comp)<br>,,,,
9,Operative Division:Cashier,Sale,ACQUIRE BarCodeScanner,cashier scans a item [Branch:DisableExpressMode],1. READ Item (Comp)<br>2. WRITE Barcode (Comp)<br>,1. Product (Comp)<br>2. Barcode (Comp)<br>,scanBarcode[Branch:DisableExpressMode],cocome-cloud,ICashDeskView.scanBarcode(),WRITE STRING
10,Operative Division:Cashier,Sale,ACQUIRE CardReader,1. cashier pulls credit cardt through card reader [Branch:DisableExpressMode]<br>2. cashier returns credit card to customer [Branch:DisableExpressMode]<br>,1. READ CreditCard (Comp)<br>2. WRITE CreditCard (Comp)<br>,1. creditCard (Comp)<br>2. creditCard (Comp)<br>,,,,
