Id,Role,Process,BusinessActivity,BusinessPermission,ISDataType,ISActivity,System,ServiceCall,ISPermission
1,External:Customer,sale-process,ArrivingAtCashdesk,WRITE Items (Coll),List_products (Coll),,,,
2,Operative Division:Cashier,sale-process,PressStartNewSale,,,,,,
2,Operative Division:Cashier,sale-process,PressStartNewSale,,,,,1. AcquireCashDeskPC<br>2. AcquireLightDisplay<br>3. AcquireCashBox<br>,1. ACQUIRE CashDeskPC<br>2. ACQUIRE LightDisplay<br>3. ACQUIRE CashBox<br>
3,Operative Division:Cashier,sale-process,EnterDigit,READ/WRITE Item (Comp),Product (Comp),addDigitToBarCode,cocome-cloud,ICashDeskView.addDigitToBarcode(),READ digit: CHAR
4,Operative Division:Cashier,sale-process,ScanItems,READ/WRITE Item (Comp),Product (Comp),scanBarcode,cocome-cloud,ICashDeskView.scanBarcode(),WRITE STRING
4,Operative Division:Cashier,sale-process,ScanItems,,,,,1. AcquireBarCodeScanner<br>2. ReleaseBarCodeScanner<br>,1. ACQUIRE BarCodeScanner<br>2. RELEASE BarCodeScanner<br>
5,External:Customer,sale-process,HandOverMoney,WRITE MoneyCollection (Coll),,PressControlKey (Cash Payment) sale process,cocome-cloud,ICashDeskView.startCashPayment(),WRITE STRING
6,Operative Division:Cashier,sale-process,EnterRecievedCash,READ MoneyCollection (Coll),,PressNumPadKey (CashAmount),cocome-cloud,ICashDeskView.enterCashAmount(),1. READ cashAmount: DOUBLE<br>2. WRITE STRING<br>
7,Operative Division:Cashier,sale-process,PressEnter,,,,,,
8,Operative Division:Cashier,sale-process,CloseCashBox,,,,,,
9,Operative Division:Cashier,sale-process,HandOverChange,WRITE MoneyCollection (Coll),,,,,
9,Operative Division:Cashier,sale-process,HandOverChange,,,,,ReleaseCashBox,RELEASE CashBox
10,External:Customer,sale-process,GiveCreditCard,WRITE CreditCard (Comp),creditCard (Comp),PressControlKey (Card Payment),cocome-cloud,ICashDeskView.startCardPayment(),WRITE STRING
11,Operative Division:Cashier,sale-process,RecieveCreditCard,READ CreditCard (Comp),creditCard (Comp),,,,
12,Operative Division:Cashier,sale-process,PullCreditCardThroughCardReader,READ/WRITE CreditCard (Comp),creditCard (Comp),enterCreditCardInfo,cocome-cloud,ICashDeskView.enterCardInfo(),1. READ cardInfo: STRING<br>2. READ pin: STRING<br>3. WRITE STRING<br>
12,Operative Division:Cashier,sale-process,PullCreditCardThroughCardReader,,,,,AcquireCardReader,ACQUIRE CardReader
13,External:Customer,sale-process,EnterPin,READ/WRITE CreditCard (Comp),creditCard (Comp),,,,
13,External:Customer,sale-process,EnterPin,,,,,1. ReleaseCardReader<br>2. ReleaseCashBox<br>,1. RELEASE CardReader<br>2. RELEASE CashBox<br>
14,Operative Division:Cashier,sale-process,HandReceiptOut,READ/WRITE Receipt (Comp),,getCurrentPrintout,cocome-cloud,ICashDeskView.updatePrinterOutput(),
14,Operative Division:Cashier,sale-process,HandReceiptOut,,,,,1. AcquirePrinter<br>2. ReleasePrinter<br>,1. ACQUIRE Printer<br>2. RELEASE Printer<br>
15,External:Customer,sale-process,LeaveWithReceiptAndGoods,1. READ/WRITE Receipt (Comp)<br>2. WRITE Items (Coll)<br>,1. <br>2. List_products (Coll)<br>,resetSale,cocome-cloud,ICashDeskView.resetSale(),WRITE STRING
15,External:Customer,sale-process,LeaveWithReceiptAndGoods,,,,,1. ReleaseLightDisplay<br>2. ReleaseCashDeskPC<br>,1. RELEASE LightDisplay<br>2. RELEASE CashDeskPC<br>
16,Administrational Division:StockManager,Manage Product Information,open overview of available products,,,getOverviewOfAvailableProducts,org.cocome.cloud.logic.webservice.storeservice,IStoreManager.getAllStoreProducts(),1. READ storeID: INT<br>2. WRITE List_ProductWithSupplierTO<br>
17,Administrational Division:StockManager,Manage Product Information,select a Product,1. READ Items (Coll)<br>2. WRITE Item (Comp)<br>,1. List_products (Coll)<br>2. Product (Comp)<br>,,,,
18,Administrational Division:StockManager,Manage Product Information,change product information,1. READ Items (Coll)<br>2. WRITE Item (Comp)<br>,1. List_products (Coll)<br>2. Product (Comp)<br>,,,,
19,Administrational Division:StockManager,Manage Product Information,commit changes by pressing corresponding button,1. READ Item (Comp)<br>2. WRITE Items (Coll)<br>,1. Product (Comp)<br>2. List_products (Coll)<br>,commitChanges,org.cocome.cloud.logic.webservice.storeservice,IStoreManager.updateStockItem(),1. READ storeID: INT<br>2. READ stockItemTO: StockItemTO<br>
20,Administrational Division:StockManager,View Customer Report,enter costumer identifier and submit report request,WRITE CustomerIdentifier (Comp),customerIdentifier (Comp),displayCustomerReport,org.cocome.cloud.logic.webservice.cashdeskline.cashdeskservice.userdisplay,IUserDisplay.null,
21,External:Customer,Sale,customer arrives at cash desk,WRITE Items (Coll),List_products (Coll),isInExpressMode,cocome-cloud,ICashDeskView.isInExpressMode(),
22,Operative Division:Cashier,Sale,cashier presses StartNewSale [Branch:KeepExpressModeEnabled],,,,,,
22,Operative Division:Cashier,Sale,cashier presses StartNewSale [Branch:KeepExpressModeEnabled],,,,,1. AcquireCashDeskPC<br>2. AcquireLightDisplay<br>3. AcquireCashBox<br>,1. ACQUIRE CashDeskPC<br>2. ACQUIRE LightDisplay<br>3. ACQUIRE CashBox<br>
23,Operative Division:Cashier,Sale,cashier enters digit [Branch:KeepExpressModeEnabled],1. READ Item (Comp)<br>2. WRITE Barcode (Comp)<br>,1. Product (Comp)<br>2. Barcode (Comp)<br>,addDigitToBarcode[Branch:KeepExpressModeEnabled],cocome-cloud,ICashDeskView.addDigitToBarcode(),READ digit: CHAR
24,Operative Division:Cashier,Sale,cashier scans a item [Branch:KeepExpressModeEnabled],1. READ Item (Comp)<br>2. WRITE Barcode (Comp)<br>,1. Product (Comp)<br>2. Barcode (Comp)<br>,scanBarcode [Branch:KeepExpressModeEnabled],cocome-cloud,ICashDeskView.scanBarcode(),WRITE STRING
24,Operative Division:Cashier,Sale,cashier scans a item [Branch:KeepExpressModeEnabled],,,,,1. AcquireBarCodeScanner[Branch:KeepExpressModeEnabled]<br>2. ReleaseBarCodeScanner[Branch:KeepExpressModeEnabled]<br>,1. ACQUIRE BarCodeScanner<br>2. RELEASE BarCodeScanner<br>
