Id,IDBA,Role,Process,BusinessActivity,BusinessPermission,ISDataType,ISActivity,System,ServiceCall,ISPermission
1,1,Sammlund und Wissenschaft:Restaurator,eigenes Werk wird zurückgebracht,Auspacken beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
2,1,Sammlund und Wissenschaft:Restaurator,eigenes Werk wird zurückgebracht,Auspacken beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für Zustandsaktualisierung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
3,2,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird zurückgebracht, Auspacken beaufsichtigen und Protokoll ergänzen,READ/WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen 2,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
4,2,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird zurückgebracht, Auspacken beaufsichtigen und Protokoll ergänzen,READ/WRITE Protokoll (Comp),Protokoll (Comp),sich im System für Zustandsaktualisierung anmelden 2,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
5,3,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird zurückgebracht,Zustand vermerken,WRITE Standortdaten (Coll),Standortdaten (Coll),Zustand aktualisieren,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.aktualisiereStandort(),1. READ token: Token<br>2. READ standort: Standort<br>
6,3,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird zurückgebracht,Zustand vermerken,WRITE Standortdaten (Coll),Standortdaten (Coll),aktuellen Zustand holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjektMitStandort(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE AusstellungsobjektMitStandort<br>
7,3,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird zurückgebracht,Zustand vermerken,WRITE Standortdaten (Coll),Standortdaten (Coll),sich im System für Zustandsaktualisierung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
8,4,Sammlund und Wissenschaft:Restaurator,eigenes Werk wird zurückgebracht,Werk begutachten,,,,,,
9,5,Sammlund und Wissenschaft:Restaurator,eigenes Werk wird zurückgebracht,Werkarbeiten durchführen,,,,,,
10,6,Sammlund und Wissenschaft:Restaurator,eigenes Werk wird zurückgebracht,Werk an vorgesehenen Ort transportieren,,,,,,
11,7,Ausschuss:Wissenschaftsversammlung,Konzeption neuer Ausstellung,Ausstellung beschließen,,,,,,
12,8,Sammlung und Wissenschaft:Kurator,Konzeption neuer Ausstellung,Konzept erstellen,WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),,,,
13,9,Sammlung und Wissenschaft:Kurator,Konzeption neuer Ausstellung,Budget verhandeln,1. READ Ausstellungskonzept (Comp)<br>2. WRITE Kosten- und Finanzierungsplan (Comp)<br>,1. Ausstellungskonzept (Comp)<br>2. Kosten- und Finanzierungsplan (Comp)<br>,,,,
14,10,Vorstand:Direktor,Konzeption neuer Ausstellung,Budget absegnen,READ Kosten- und Finanzierungsplan (Comp),Kosten- und Finanzierungsplan (Comp),,,,
15,11,Vorstand:Kaufmännische Geschäftsführer,Konzeption neuer Ausstellung,Budget absegnen durch Geschäftsführer,READ Kosten- und Finanzierungsplan (Comp),Kosten- und Finanzierungsplan (Comp),,,,
16,12,Sammlung und Wissenschaft:Kurator,Konzeption neuer Ausstellung,über Budgets benachrichtigen,READ Kosten- und Finanzierungsplan (Comp),Kosten- und Finanzierungsplan (Comp),Budget eintragen,Kunsthalle,System.ISystemAusstellungProvidedRole.fügeKostenUndFinanzierungsplanHinzu(),1. READ token: Token<br>2. READ plan: Kosten- und Finanzierungsplan<br>
17,12,Sammlung und Wissenschaft:Kurator,Konzeption neuer Ausstellung,über Budgets benachrichtigen,READ Kosten- und Finanzierungsplan (Comp),Kosten- und Finanzierungsplan (Comp),sich im System abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
18,12,Sammlung und Wissenschaft:Kurator,Konzeption neuer Ausstellung,über Budgets benachrichtigen,READ Kosten- und Finanzierungsplan (Comp),Kosten- und Finanzierungsplan (Comp),sich im System anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
19,13,Sammlung und Wissenschaft:Kurator,Konzeption neuer Ausstellung,fremde Werke ausleihen,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),,,,
20,14,Sammlung und Wissenschaft:Kurator,Konzeption neuer Ausstellung,Katalog erarbeiten,READ Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),,,,
21,15,Kommunikation:Kommunikation,Konzeption neuer Ausstellung,digitale Produkte erstellen,READ Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),,,,
22,16,Sammlung und Wissenschaft:Kunstvermittler,Konzeption neuer Ausstellung,Vermittlungsangebot erstellen,READ Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),,,,
23,17,Kommunikation:Kommunikation,Konzeption neuer Ausstellung,Marketingstrategie vorbereiten,READ Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),,,,
24,18,Sammlung und Wissenschaft:Registrar,Konzeption neuer Ausstellung,fremdes Werk wird angeliefert,,,,,,
25,19,Sammlung und Wissenschaft:Kurator,Konzept erstellen,eigene Ausstellungsobjekte für Ausstellung auswählen,1. READ Ausstellungsobjekte (Coll)<br>2. READ Literatur (Coll)<br>3. READ Standortdaten (Coll)<br>4. WRITE Ausstellungskonzept (Comp)<br>,1. Ausstellungsobjekte (Coll)<br>2. Literatur (Coll)<br>3. Standortdaten (Coll)<br>4. Ausstellungskonzept (Comp)<br>,Ausstellungskonzept anlegen,Kunsthalle,System.ISystemAusstellungProvidedRole.erstelleAusstellungskonzept(),1. READ token: Token<br>2. WRITE Ausstellungskonzept<br>
26,19,Sammlung und Wissenschaft:Kurator,Konzept erstellen,eigene Ausstellungsobjekte für Ausstellung auswählen,1. READ Ausstellungsobjekte (Coll)<br>2. READ Literatur (Coll)<br>3. READ Standortdaten (Coll)<br>4. WRITE Ausstellungskonzept (Comp)<br>,1. Ausstellungsobjekte (Coll)<br>2. Literatur (Coll)<br>3. Standortdaten (Coll)<br>4. Ausstellungskonzept (Comp)<br>,Ausstellungsobjekte mit deren Standort holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjekteMitStandort(),1. READ token: Token<br>2. WRITE AusstellungsobjekteMitStandort<br>
27,19,Sammlung und Wissenschaft:Kurator,Konzept erstellen,eigene Ausstellungsobjekte für Ausstellung auswählen,1. READ Ausstellungsobjekte (Coll)<br>2. READ Literatur (Coll)<br>3. READ Standortdaten (Coll)<br>4. WRITE Ausstellungskonzept (Comp)<br>,1. Ausstellungsobjekte (Coll)<br>2. Literatur (Coll)<br>3. Standortdaten (Coll)<br>4. Ausstellungskonzept (Comp)<br>,Literatur holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibLiteratur(),1. READ token: Token<br>2. WRITE Literatur<br>
28,19,Sammlung und Wissenschaft:Kurator,Konzept erstellen,eigene Ausstellungsobjekte für Ausstellung auswählen,1. READ Ausstellungsobjekte (Coll)<br>2. READ Literatur (Coll)<br>3. READ Standortdaten (Coll)<br>4. WRITE Ausstellungskonzept (Comp)<br>,1. Ausstellungsobjekte (Coll)<br>2. Literatur (Coll)<br>3. Standortdaten (Coll)<br>4. Ausstellungskonzept (Comp)<br>,eigenes Ausstellungsobjekt dem Ausstellungskonzept hinzufügen,Kunsthalle,System.ISystemAusstellungProvidedRole.fügeEigenesAusstellungsobjektDemAusstellungskonzeptHinzu(),1. READ token: Token<br>2. READ konzept: Ausstellungskonzept<br>3. READ eigenesAusstellungsobjekt: Ausstellungsobjekt<br>4. READ Restaurorische Maßnahmen erforderlich?: BOOL<br>5. READ inhaltliches: STRING<br>
29,19,Sammlung und Wissenschaft:Kurator,Konzept erstellen,eigene Ausstellungsobjekte für Ausstellung auswählen,1. READ Ausstellungsobjekte (Coll)<br>2. READ Literatur (Coll)<br>3. READ Standortdaten (Coll)<br>4. WRITE Ausstellungskonzept (Comp)<br>,1. Ausstellungsobjekte (Coll)<br>2. Literatur (Coll)<br>3. Standortdaten (Coll)<br>4. Ausstellungskonzept (Comp)<br>,sich im System für die Konzepterstellung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
30,19,Sammlung und Wissenschaft:Kurator,Konzept erstellen,eigene Ausstellungsobjekte für Ausstellung auswählen,1. READ Ausstellungsobjekte (Coll)<br>2. READ Literatur (Coll)<br>3. READ Standortdaten (Coll)<br>4. WRITE Ausstellungskonzept (Comp)<br>,1. Ausstellungsobjekte (Coll)<br>2. Literatur (Coll)<br>3. Standortdaten (Coll)<br>4. Ausstellungskonzept (Comp)<br>,sich im System für die Konzepterstellung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
31,20,Sammlung und Wissenschaft:Restaurator,Konzept erstellen,über Ausstellfähigkeit der eigenen Werke entscheiden,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),Ausstellungskonzept holen,Kunsthalle,System.ISystemAusstellungProvidedRole.gibAusstellungskonzept(),1. READ token: Token<br>2. READ ausstellungsName: STRING<br>3. WRITE Ausstellungskonzept<br>
32,20,Sammlung und Wissenschaft:Restaurator,Konzept erstellen,über Ausstellfähigkeit der eigenen Werke entscheiden,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),Ausstellungsobjekt entfernen,Kunsthalle,System.ISystemAusstellungProvidedRole.entferneAusstellungsobjektAusAusstellungskonzept(),1. READ token: Token<br>2. READ konzept: Ausstellungskonzept<br>3. READ ausstellungsobjekt: öffentlich sichtbares Ausstellungsobjekt<br>
33,20,Sammlung und Wissenschaft:Restaurator,Konzept erstellen,über Ausstellfähigkeit der eigenen Werke entscheiden,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),sich im System für die Ausstell-Entscheidung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
34,20,Sammlung und Wissenschaft:Restaurator,Konzept erstellen,über Ausstellfähigkeit der eigenen Werke entscheiden,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),sich im System für die Ausstell-Entscheidung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
